0 0.152941 0 0 0 0 0 0 0 0 0 0 0 0
1 0.8 0 0 0 0 0 0 0 0 0 0 0 0
2 0.223529 0 0 0 0 0 0 0 0 0 0 0 0
3 0.517647 0 1 0 1.367 1.231 0.914 274.286 180 77.143 171.429 -214.286 128.571
4 0.682353 2 0 0 1.502 0 1.91 0 214.286 274.286 271.429 0 128.571
5 0.329412 2 0 0 1.321 1.14 0.96 111.429 180 85.714 -242.857 -300 -271.429
6 0.635294 2 0 0 1.276 0.869 1.186 205.714 154.286 180 271.429 300 242.857
7 0.411765 0 0 0 0 0 0 0 0 0 0 0 0
8 0.376471 0 0 0 0 0 0 0 0 0 0 0 0
9 0.352941 0 0 0 0 0 0 0 0 0 0 0 0
10 0.329 0 0 0 0 0 0 0 0 0 0 0 0
