0 0.482353 2 0 0 40 40 0.1 0 0 0 0 0 0
0.325 0.611765 0 0 0 45 45 0.1 0 0 0 10 10 0
0.65 0.741176 2 0 0 50 50 0.1 0 0 0 20 0 0
0.975 0.882353 2 0 0 55 55 0.1 0 0 0 30 30 0
1.375 0.752941 2 0 0 60 60 0.1 0 0 0 40 0 0
1.75 0.611765 2 0 0 65 65 0.1 0 0 0 50 50 0
2.025 0.470588 0 0 0 70 70 0.1 0 0 0 60 0 0
2.55 0.470588 2 0 0 75 75 0.1 0 0 0 70 0 0
2.9 0.623529 2 0 0 80 80 0.1 0 0 0 80 0 0
3.275 0.788235 0 0 0 85 85 0.1 0 0 0 90 0 0
3.675 0.905882 2 0 0 90 90 0.1 0 0 0 100 100 0
4 0.764706 0 0 0 0 0 0 0 0 0 0 0 0
4.3 0.576471 2 0 0 90 90 0.1 0 0 0 100 0 0
4.55 0.423529 0 0 0 0 0 0 0 0 0 0 0 0
5.075 0.435294 0 0 0 0 0 0 0 0 0 0 0 0
5.475 0.541176 2 0 0 100 100 0.1 0 0 0 120 0 0
5.85 0.6 0 0 0 0 0 0 0 0 0 0 0 0
6.275 0.552941 2 0 0 110 110 0.1 0 0 0 140 0 0
6.7 0.458824 0 0 0 0 0 0 0 0 0 0 0 0
7.125 0.494118 2 0 0 120 120 0.1 0 0 0 160 0 0
7.625 0.6 0 0 0 0 0 0 0 0 0 0 0 0
8 0.564706 2 0 0 130 130 0.1 0 0 0 180 0 0
8.45 0.505882 0 0 0 0 0 0 0 0 0 0 0 0
8.85 0.564706 2 0 0 140 140 0.1 0 0 0 200 0 0
